query graph:0    data graph:0
============================================================
(0, 1635) (1, 126) (2, 7) (3, 958) (4, 76) 
(0, 1635) (1, 126) (2, 7) (3, 958) (4, 85) 
(0, 1635) (1, 126) (2, 7) (3, 958) (4, 88) 
(0, 1635) (1, 126) (2, 7) (3, 1093) (4, 76) 
(0, 1635) (1, 126) (2, 7) (3, 1093) (4, 85) 
(0, 1635) (1, 126) (2, 7) (3, 1093) (4, 88) 
(0, 1635) (1, 126) (2, 7) (3, 1194) (4, 76) 
(0, 1635) (1, 126) (2, 7) (3, 1194) (4, 85) 
(0, 1635) (1, 126) (2, 7) (3, 1194) (4, 88) 
(0, 1635) (1, 345) (2, 7) (3, 408) (4, 76) 
(0, 1635) (1, 345) (2, 7) (3, 408) (4, 85) 
(0, 1635) (1, 345) (2, 7) (3, 408) (4, 88) 
(0, 1635) (1, 345) (2, 7) (3, 913) (4, 76) 
(0, 1635) (1, 345) (2, 7) (3, 913) (4, 85) 
(0, 1635) (1, 345) (2, 7) (3, 913) (4, 88) 
(0, 1743) (1, 42) (2, 7) (3, 14) (4, 370) 
(0, 1743) (1, 42) (2, 7) (3, 14) (4, 607) 
(0, 1743) (1, 42) (2, 7) (3, 41) (4, 370) 
(0, 1743) (1, 42) (2, 7) (3, 41) (4, 607) 
(0, 1743) (1, 42) (2, 7) (3, 55) (4, 370) 
(0, 1743) (1, 42) (2, 7) (3, 55) (4, 607) 
(0, 1743) (1, 42) (2, 7) (3, 1132) (4, 370) 
(0, 1743) (1, 42) (2, 7) (3, 1132) (4, 607) 
(0, 1759) (1, 112) (2, 7) (3, 55) (4, 74) 
(0, 1759) (1, 112) (2, 7) (3, 55) (4, 162) 
(0, 1759) (1, 112) (2, 7) (3, 133) (4, 74) 
(0, 1759) (1, 112) (2, 7) (3, 133) (4, 162) 
(0, 1759) (1, 112) (2, 7) (3, 410) (4, 74) 
(0, 1759) (1, 112) (2, 7) (3, 410) (4, 162) 
(0, 1759) (1, 112) (2, 7) (3, 1093) (4, 74) 
(0, 1759) (1, 112) (2, 7) (3, 1093) (4, 162) 
(0, 12) (1, 20) (2, 31) (3, 41) (4, 44) 
(0, 12) (1, 20) (2, 31) (3, 41) (4, 88) 
(0, 12) (1, 20) (2, 31) (3, 41) (4, 186) 
(0, 12) (1, 20) (2, 31) (3, 41) (4, 381) 
(0, 12) (1, 20) (2, 31) (3, 41) (4, 1117) 
(0, 12) (1, 20) (2, 31) (3, 50) (4, 44) 
(0, 12) (1, 20) (2, 31) (3, 50) (4, 88) 
(0, 12) (1, 20) (2, 31) (3, 50) (4, 186) 
(0, 12) (1, 20) (2, 31) (3, 50) (4, 381) 
(0, 12) (1, 20) (2, 31) (3, 50) (4, 1117) 
(0, 12) (1, 20) (2, 31) (3, 55) (4, 44) 
(0, 12) (1, 20) (2, 31) (3, 55) (4, 88) 
(0, 12) (1, 20) (2, 31) (3, 55) (4, 186) 
(0, 12) (1, 20) (2, 31) (3, 55) (4, 381) 
(0, 12) (1, 20) (2, 31) (3, 55) (4, 1117) 
(0, 12) (1, 20) (2, 31) (3, 68) (4, 44) 
(0, 12) (1, 20) (2, 31) (3, 68) (4, 88) 
(0, 12) (1, 20) (2, 31) (3, 68) (4, 186) 
(0, 12) (1, 20) (2, 31) (3, 68) (4, 381) 
(0, 12) (1, 20) (2, 31) (3, 68) (4, 1117) 
(0, 12) (1, 20) (2, 31) (3, 86) (4, 44) 
(0, 12) (1, 20) (2, 31) (3, 86) (4, 88) 
(0, 12) (1, 20) (2, 31) (3, 86) (4, 186) 
(0, 12) (1, 20) (2, 31) (3, 86) (4, 381) 
(0, 12) (1, 20) (2, 31) (3, 86) (4, 1117) 
(0, 12) (1, 20) (2, 31) (3, 410) (4, 44) 
(0, 12) (1, 20) (2, 31) (3, 410) (4, 88) 
(0, 12) (1, 20) (2, 31) (3, 410) (4, 186) 
(0, 12) (1, 20) (2, 31) (3, 410) (4, 381) 
(0, 12) (1, 20) (2, 31) (3, 410) (4, 1117) 
(0, 12) (1, 112) (2, 31) (3, 55) (4, 44) 
(0, 12) (1, 112) (2, 31) (3, 55) (4, 88) 
(0, 12) (1, 112) (2, 31) (3, 55) (4, 186) 
(0, 12) (1, 112) (2, 31) (3, 55) (4, 381) 
(0, 12) (1, 112) (2, 31) (3, 55) (4, 1117) 
(0, 12) (1, 112) (2, 31) (3, 410) (4, 44) 
(0, 12) (1, 112) (2, 31) (3, 410) (4, 88) 
(0, 12) (1, 112) (2, 31) (3, 410) (4, 186) 
(0, 12) (1, 112) (2, 31) (3, 410) (4, 381) 
(0, 12) (1, 112) (2, 31) (3, 410) (4, 1117) 
(0, 12) (1, 115) (2, 31) (3, 27) (4, 44) 
(0, 12) (1, 115) (2, 31) (3, 27) (4, 88) 
(0, 12) (1, 115) (2, 31) (3, 27) (4, 186) 
(0, 12) (1, 115) (2, 31) (3, 27) (4, 381) 
(0, 12) (1, 115) (2, 31) (3, 27) (4, 1117) 
(0, 12) (1, 115) (2, 31) (3, 50) (4, 44) 
(0, 12) (1, 115) (2, 31) (3, 50) (4, 88) 
(0, 12) (1, 115) (2, 31) (3, 50) (4, 186) 
(0, 12) (1, 115) (2, 31) (3, 50) (4, 381) 
(0, 12) (1, 115) (2, 31) (3, 50) (4, 1117) 
(0, 12) (1, 115) (2, 31) (3, 55) (4, 44) 
(0, 12) (1, 115) (2, 31) (3, 55) (4, 88) 
(0, 12) (1, 115) (2, 31) (3, 55) (4, 186) 
(0, 12) (1, 115) (2, 31) (3, 55) (4, 381) 
(0, 12) (1, 115) (2, 31) (3, 55) (4, 1117) 
(0, 16) (1, 52) (2, 31) (3, 408) (4, 1117) 
(0, 16) (1, 52) (2, 31) (3, 410) (4, 1117) 
(0, 16) (1, 52) (2, 31) (3, 913) (4, 1117) 
(0, 16) (1, 105) (2, 31) (3, 0) (4, 1117) 
(0, 16) (1, 105) (2, 31) (3, 14) (4, 1117) 
(0, 16) (1, 105) (2, 31) (3, 50) (4, 1117) 
(0, 16) (1, 105) (2, 31) (3, 86) (4, 1117) 
(0, 16) (1, 105) (2, 31) (3, 408) (4, 1117) 
(0, 16) (1, 105) (2, 31) (3, 913) (4, 1117) 
(0, 16) (1, 885) (2, 31) (3, 0) (4, 1117) 
(0, 16) (1, 885) (2, 31) (3, 14) (4, 1117) 
(0, 16) (1, 885) (2, 31) (3, 50) (4, 1117) 
(0, 16) (1, 885) (2, 31) (3, 55) (4, 1117) 
(0, 16) (1, 885) (2, 31) (3, 166) (4, 1117) 
(0, 16) (1, 885) (2, 31) (3, 410) (4, 1117) 
(0, 49) (1, 38) (2, 31) (3, 14) (4, 44) 
(0, 49) (1, 38) (2, 31) (3, 14) (4, 1117) 
(0, 49) (1, 38) (2, 31) (3, 41) (4, 44) 
(0, 49) (1, 38) (2, 31) (3, 41) (4, 1117) 
(0, 49) (1, 38) (2, 31) (3, 55) (4, 44) 
(0, 49) (1, 38) (2, 31) (3, 55) (4, 1117) 
(0, 49) (1, 38) (2, 31) (3, 68) (4, 44) 
(0, 49) (1, 38) (2, 31) (3, 68) (4, 1117) 
(0, 49) (1, 38) (2, 31) (3, 408) (4, 44) 
(0, 49) (1, 38) (2, 31) (3, 408) (4, 1117) 
(0, 49) (1, 38) (2, 31) (3, 913) (4, 44) 
(0, 49) (1, 38) (2, 31) (3, 913) (4, 1117) 
(0, 49) (1, 105) (2, 31) (3, 0) (4, 44) 
(0, 49) (1, 105) (2, 31) (3, 0) (4, 1117) 
(0, 49) (1, 105) (2, 31) (3, 14) (4, 44) 
(0, 49) (1, 105) (2, 31) (3, 14) (4, 1117) 
(0, 49) (1, 105) (2, 31) (3, 50) (4, 44) 
(0, 49) (1, 105) (2, 31) (3, 50) (4, 1117) 
(0, 49) (1, 105) (2, 31) (3, 86) (4, 44) 
(0, 49) (1, 105) (2, 31) (3, 86) (4, 1117) 
(0, 49) (1, 105) (2, 31) (3, 408) (4, 44) 
(0, 49) (1, 105) (2, 31) (3, 408) (4, 1117) 
(0, 49) (1, 105) (2, 31) (3, 913) (4, 44) 
(0, 49) (1, 105) (2, 31) (3, 913) (4, 1117) 
(0, 79) (1, 38) (2, 31) (3, 14) (4, 44) 
(0, 79) (1, 38) (2, 31) (3, 14) (4, 76) 
(0, 79) (1, 38) (2, 31) (3, 14) (4, 88) 
(0, 79) (1, 38) (2, 31) (3, 41) (4, 44) 
(0, 79) (1, 38) (2, 31) (3, 41) (4, 76) 
(0, 79) (1, 38) (2, 31) (3, 41) (4, 88) 
(0, 79) (1, 38) (2, 31) (3, 55) (4, 44) 
(0, 79) (1, 38) (2, 31) (3, 55) (4, 76) 
(0, 79) (1, 38) (2, 31) (3, 55) (4, 88) 
(0, 79) (1, 38) (2, 31) (3, 68) (4, 44) 
(0, 79) (1, 38) (2, 31) (3, 68) (4, 76) 
(0, 79) (1, 38) (2, 31) (3, 68) (4, 88) 
(0, 79) (1, 38) (2, 31) (3, 408) (4, 44) 
(0, 79) (1, 38) (2, 31) (3, 408) (4, 76) 
(0, 79) (1, 38) (2, 31) (3, 408) (4, 88) 
(0, 79) (1, 38) (2, 31) (3, 913) (4, 44) 
(0, 79) (1, 38) (2, 31) (3, 913) (4, 76) 
(0, 79) (1, 38) (2, 31) (3, 913) (4, 88) 
(0, 79) (1, 59) (2, 31) (3, 41) (4, 44) 
(0, 79) (1, 59) (2, 31) (3, 41) (4, 76) 
(0, 79) (1, 59) (2, 31) (3, 41) (4, 88) 
(0, 79) (1, 59) (2, 31) (3, 408) (4, 44) 
(0, 79) (1, 59) (2, 31) (3, 408) (4, 76) 
(0, 79) (1, 59) (2, 31) (3, 408) (4, 88) 
(0, 79) (1, 105) (2, 31) (3, 0) (4, 44) 
(0, 79) (1, 105) (2, 31) (3, 0) (4, 76) 
(0, 79) (1, 105) (2, 31) (3, 0) (4, 88) 
(0, 79) (1, 105) (2, 31) (3, 14) (4, 44) 
(0, 79) (1, 105) (2, 31) (3, 14) (4, 76) 
(0, 79) (1, 105) (2, 31) (3, 14) (4, 88) 
(0, 79) (1, 105) (2, 31) (3, 50) (4, 44) 
(0, 79) (1, 105) (2, 31) (3, 50) (4, 76) 
(0, 79) (1, 105) (2, 31) (3, 50) (4, 88) 
(0, 79) (1, 105) (2, 31) (3, 86) (4, 44) 
(0, 79) (1, 105) (2, 31) (3, 86) (4, 76) 
(0, 79) (1, 105) (2, 31) (3, 86) (4, 88) 
(0, 79) (1, 105) (2, 31) (3, 408) (4, 44) 
(0, 79) (1, 105) (2, 31) (3, 408) (4, 76) 
(0, 79) (1, 105) (2, 31) (3, 408) (4, 88) 
(0, 79) (1, 105) (2, 31) (3, 913) (4, 44) 
(0, 79) (1, 105) (2, 31) (3, 913) (4, 76) 
(0, 79) (1, 105) (2, 31) (3, 913) (4, 88) 
(0, 79) (1, 126) (2, 31) (3, 55) (4, 44) 
(0, 79) (1, 126) (2, 31) (3, 55) (4, 76) 
(0, 79) (1, 126) (2, 31) (3, 55) (4, 88) 
(0, 79) (1, 126) (2, 31) (3, 408) (4, 44) 
(0, 79) (1, 126) (2, 31) (3, 408) (4, 76) 
(0, 79) (1, 126) (2, 31) (3, 408) (4, 88) 
(0, 79) (1, 126) (2, 31) (3, 958) (4, 44) 
(0, 79) (1, 126) (2, 31) (3, 958) (4, 76) 
(0, 79) (1, 126) (2, 31) (3, 958) (4, 88) 
(0, 91) (1, 105) (2, 31) (3, 0) (4, 85) 
(0, 91) (1, 105) (2, 31) (3, 0) (4, 186) 
(0, 91) (1, 105) (2, 31) (3, 14) (4, 85) 
(0, 91) (1, 105) (2, 31) (3, 14) (4, 186) 
(0, 91) (1, 105) (2, 31) (3, 50) (4, 85) 
(0, 91) (1, 105) (2, 31) (3, 50) (4, 186) 
(0, 91) (1, 105) (2, 31) (3, 86) (4, 85) 
